[OPTIMUM SOLVER] for the first 6 cities: 

[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Aksehir, Turkey, Amasya, Turkey, Anamur, Turkey, Istanbul, Turkey]---3039.7684956621515 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Aksehir, Turkey, Anamur, Turkey, Amasya, Turkey, Istanbul, Turkey]---3647.722194794582 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Amasya, Turkey, Aksehir, Turkey, Anamur, Turkey, Istanbul, Turkey]---3647.722194794582 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Amasya, Turkey, Anamur, Turkey, Aksehir, Turkey, Istanbul, Turkey]---4255.675893927012 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Anamur, Turkey, Amasya, Turkey, Aksehir, Turkey, Istanbul, Turkey]---4255.675893927012 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Anamur, Turkey, Aksehir, Turkey, Amasya, Turkey, Istanbul, Turkey]---4863.629593059442 KM
[Istanbul, Turkey, Adana, Turkey, Aksehir, Turkey, Afyon, Turkey, Amasya, Turkey, Anamur, Turkey, Istanbul, Turkey]---3647.722194794582 KM
[Istanbul, Turkey, Adana, Turkey, Aksehir, Turkey, Afyon, Turkey, Anamur, Turkey, Amasya, Turkey, Istanbul, Turkey]---4255.675893927012 KM
[Istanbul, Turkey, Adana, Turkey, Aksehir, Turkey, Amasya, Turkey, Afyon, Turkey, Anamur, Turkey, Istanbul, Turkey]---4255.675893927012 KM
[Istanbul, Turkey, Adana, Turkey, Aksehir, Turkey, Amasya, Turkey, Anamur, Turkey, Afyon, Turkey, Istanbul, Turkey]---4863.629593059442 KM
[Istanbul, Turkey, Adana, Turkey, Aksehir, Turkey, Anamur, Turkey, Amasya, Turkey, Afyon, Turkey, Istanbul, Turkey]---4863.629593059442 KM
[Istanbul, Turkey, Adana, Turkey, Aksehir, Turkey, Anamur, Turkey, Afyon, Turkey, Amasya, Turkey, Istanbul, Turkey]---5471.583292191873 KM
[Istanbul, Turkey, Adana, Turkey, Amasya, Turkey, Aksehir, Turkey, Afyon, Turkey, Anamur, Turkey, Istanbul, Turkey]---4255.675893927012 KM
[Istanbul, Turkey, Adana, Turkey, Amasya, Turkey, Aksehir, Turkey, Anamur, Turkey, Afyon, Turkey, Istanbul, Turkey]---4863.629593059442 KM
